tenXeMay;tenAnh;giaNhap;heSoBan;thoiGianBaoHanh;soPhanKhoi;mauXe;tenLoaiXe;tenDongXe;tenXuatXu
SH Mode 125;SH Mode 125.png;53890000;5;36;125;Đỏ,Đen,Xanh,Trắng;Xe tay ga;SH Mode;Ân độ,Việt Nam,Thái Lan,Hàn Quốc
Air Blade 125;Air Blade 125.png;42390000;5;36;125;Đỏ-đen,Đen,Xanh-đen,Trắng-đen,Xám-đen;Xe tay ga;Air Blade;Việt Nam,Thái Lan,Hàn Quốc,Nhật Bản
Air Blade 150;Air Blade 150.png;56390000;5;36;150;Đỏ-bạc-đen,Xanh-xám-đen,Trắng-đen,Xám-đen;Xe tay ga;Air Blade;Việt Nam,Thái Lan,Hàn Quốc,Nhật Bản,Đức
Air Blade 150;Air Blade 150.png;56390000;5;36;150;Đỏ-bạc-đen,Xanh-xám-đen,Trắng-đen,Xám-đen;Xe tay ga;Air Blade;Việt Nam,Thái Lan,Hàn Quốc,Nhật Bản,Đức
Blade 110;Blade 110.png;18800000;5;36;110;Đỏ,Xanh,Trắng,Xám,Đen;Xe số;Blade;Việt Nam,Thái Lan,Trung Quốc
Wave RSX FI 110;Wave RSX FI 110.jpg;21690000;5;36;110;Đỏ,Xanh,Trắng,Xám,Đen;Xe số;Wave RSX;Việt Nam,Thái Lan,Trung Quốc
Wave Alpha 110cc;Wave Alpha 110cc.jpg;17790000;5;36;110;Đỏ,Xanh,Trắng,Xám,Đen;Xe số;Wave Alpha;Việt Nam,Thái Lan,Trung Quốc
Rebel 500;Rebel 500.png;180000000;5;36;175;Đỏ,Xanh,Trắng,Xám,Đen;Xe mô tô;Rebel;Thái Lan,Nhật Bản,Đức
Winner X;Winner X.png;48990000;5;36;150;Đỏ,Xanh,Trắng,Xám,Đen;Xe côn tay;Winner;Thái Lan,Nhật Bản,Đức
CBR1000RR-R Fireblade SP;CBR1000RR-R Fireblade SP.png;1049000000;5;36;175;Đỏ-Xanh-Trắng;Xe mô tô;CBR;Thái Lan,Nhật Bản,Đức
SH 125i;SH 125i.png;78990000;5;36;125;Đỏ,Xanh,Trắng,Xám,Đen;Xe tay ga;SH i;Thái Lan,Nhật Bản,Đức
SH 150i;SH 150i.png;95990000;5;36;150;Đỏ,Xanh,Trắng,Xám,Đen;Xe tay ga;SH i;Thái Lan,Nhật Bản,Đức
SH300i ABS;SH300i ABS.jpg;276490000;5;36;175;Đỏ,Trắng,Đen;Xe tay ga;SH i;Thái Lan,Nhật Bản,Đức
Goldwing;Goldwing.png;1200000000;5;36;150;Đỏ,Trắng;Xe mô tô;Gold Wing;Thái Lan,Nhật Bản,Đức
Future 125 FI;Future 125 FI.jpg;30190000;5;36;125;Đỏ,Trắng,Xanh,Đen,Bạc;Xe số;Future;Thái Lan,Nhật Bản,Việt Nam
CB150R Exmotion;CB150R Exmotion.jpg;105000000;5;36;175;Đỏ,Đen;Xe mô tô;CBR;Thái Lan,Nhật Bản,Việt Nam
PCX 125;PCX 125.png;56490000;5;36;125;Đỏ,Đen,Bạc;Xe tay ga;PCX;Thái Lan,Nhật Bản,Việt Nam
PCX 150;PCX 150.png;70490000;5;36;150;Đỏ,Đen,Bạc;Xe tay ga;PCX;Thái Lan,Nhật Bản,Việt Nam
MSX125;MSX125.png;49990000;5;36;125;Đỏ,Vàng,Trắng;Xe côn tay;MSX;Thái Lan,Nhật Bản,Việt Nam
Rebel 300;Rebel 300.png;125000000;5;36;175;Đỏ,Đen,Bạc;Xe mô tô;Rebel;Thái Lan,Nhật Bản,Việt Nam
CB500X;CB500X.png;187990000;5;36;175;Đỏ,Đen,Bạc;Xe mô tô;CBX;Thái Lan,Nhật Bản,Việt Nam
CBR500R;CBR500R.png;186990000;5;36;175;Đỏ,Đen;Xe mô tô;CBR;Thái Lan,Nhật Bản,Việt Nam
CB300R;CB300R.png;140000000;5;36;175;Đỏ,Đen;Xe mô tô;CBR;Thái Lan,Nhật Bản,Việt Nam
CBR650R;CBR650R.jpg;253990000;5;36;175;Đỏ,Đen;Xe mô tô;CBR;Thái Lan,Nhật Bản,Việt Nam
CB650R;CB650R.png;245990000;5;36;175;Đỏ,Đen,Bạc;Xe mô tô;CBR;Thái Lan,Nhật Bản,Việt Nam
CB1000R;CB1000R.jpg;468000000;5;36;175;Đỏ,Đen,Bạc;Xe mô tô;CBR;Thái Lan,Nhật Bản,Việt Nam
CB500F;CB500F.png;178990000;5;36;175;Đỏ,Đen,Bạc;Xe mô tô;CBF;Thái Lan,Nhật Bản,Việt Nam
Vision;Vision.jpg;29990000;5;36;110;Đỏ,Đen,Bạc,Trắng,Xanh;Xe tay ga;Vision;Thái Lan,Nhật Bản,Việt Nam
Lead 125 FI;Lead 125 FI.png;38290000;5;36;125;Đỏ,Đen,Nâu,Trắng,Xanh;Xe tay ga;Lead;Thái Lan,Nhật Bản,Việt Nam
Monkey;Monkey.jpg;84990000;5;36;125;Đỏ,Đen,Vàng,Xanh;Xe côn tay;Monkey;Thái Lan,Nhật Bản,Việt Nam
Super Cub C125;Super Cub C125.jpg;84990000;5;36;125;Đỏ,Đen,Xanh;Xe số;Super Cub;Thái Lan,Nhật Bản,Việt Nam
PCX Hybrid;PCX Hybrid.jpg;89990000;5;36;150;Xanh-đen;Xe tay ga;PCX;Thái Lan,Nhật Bản,Việt Nam
EXCITER 150 PHIÊN BẢN MONSTER ENERGY YAMAHA MOTOGP;EXCITER 150 PHIÊN BẢN MONSTER ENERGY YAMAHA MOTOGP.png;48990000;5;36;150;Xanh-đen;Xe côn tay;Exciter;Thái Lan,Nhật Bản,Việt Nam
EXCITER 150 PHIÊN BẢN GIỚI HẠN;EXCITER 150 PHIÊN BẢN GIỚI HẠN.png;47990000;5;36;150;Xanh-đen,Trắng,Xanh lá;Xe côn tay;Exciter;Thái Lan,Nhật Bản,Việt Nam
EXCITER 150 PHIÊN BẢN DOXOU;EXCITER 150 PHIÊN BẢN DOXOU.png;47990000;5;36;150;Đen-đồng,Trắng;Xe côn tay;Exciter;Thái Lan,Nhật Bản,Việt Nam
EXCITER 150 PHIÊN BẢN MOVISTAR;EXCITER 150 PHIÊN BẢN MOVISTAR.png;47990000;5;36;150;Xanh;Xe côn tay;Exciter;Thái Lan,Nhật Bản,Việt Nam
EXCITER 150 PHIÊN BẢN GP;EXCITER 150 PHIÊN BẢN GP.png;47490000;5;36;150;Xanh;Xe côn tay;Exciter;Thái Lan,Nhật Bản,Việt Nam
EXCITER 150 PHIÊN BẢN RC;EXCITER 150 PHIÊN BẢN RC.png;46990000;5;36;150;Xanh;Xe côn tay;Exciter;Thái Lan,Nhật Bản,Việt Nam
JUPITER FI PHIÊN BẢN GP;JUPITER FI PHIÊN BẢN GP.png;30000000;5;36;110;Xanh;Xe số;Jupiter;Thái Lan,Nhật Bản,Việt Nam
JUPITER FI PHIÊN BẢN RC;JUPITER FI PHIÊN BẢN RC.png;29400000;5;36;110;Đen nhám,Đỏ-đen;Xe số;Jupiter;Thái Lan,Nhật Bản,Việt Nam
SIRIUS FI PHIÊN BẢN RC VÀNH ĐÚC;SIRIUS FI PHIÊN BẢN RC VÀNH ĐÚC.png;23190000;5;36;110;Đen,Đỏ,Trắng;Xe số;Sirius FI;Thái Lan,Nhật Bản,Việt Nam
SIRIUS FI PHIÊN BẢN PHANH ĐĨA;SIRIUS FI PHIÊN BẢN PHANH ĐĨA.png;21340000;5;36;110;Đen,Đỏ,Trắng;Xe số;Sirius FI;Thái Lan,Nhật Bản,Việt Nam
SIRIUS FI PHIÊN BẢN PHANH CƠ;SIRIUS PHIÊN BẢN PHANH CƠ.png;20340000;5;36;110;Đen,Đỏ,Trắng;Xe số;Sirius FI;Thái Lan,Nhật Bản,Việt Nam
SIRIUS PHIÊN BẢN RC VÀNH ĐÚC;SIRIUS PHIÊN BẢN RC VÀNH ĐÚC.png;21300000;5;36;110;Đen,Đỏ,Trắng;Xe số;Sirius;Thái Lan,Nhật Bản,Việt Nam
